version account-id interface-id srcaddr dstaddr srcport dstport protocol packets bytes start end action log-status
2 972794921841 eni-00717e575f7327ff3 3.81.145.168 10.192.10.231 35814 22 6 16 2014 1633688676 1633688691 ACCEPT OK
2 972794921841 eni-00717e575f7327ff3 10.192.10.231 3.81.145.168 22 35798 6 20 2841 1633688676 1633688691 ACCEPT OK
2 972794921841 eni-00717e575f7327ff3 10.192.10.231 10.192.11.208 5000 34376 6 5 450 1633688676 1633688691 ACCEPT OK
2 972794921841 eni-00717e575f7327ff3 10.192.10.231 3.81.145.168 22 35758 6 25 3277 1633688676 1633688691 ACCEPT OK
2 972794921841 eni-00717e575f7327ff3 3.81.145.168 10.192.10.231 35690 22 6 3 252 1633688676 1633688691 ACCEPT OK
2 972794921841 eni-00717e575f7327ff3 3.81.145.168 10.192.10.231 35786 22 6 21 2466 1633688676 1633688691 ACCEPT OK
2 972794921841 eni-00717e575f7327ff3 10.192.10.41 10.192.10.231 41998 5000 6 5 407 1633688676 1633688691 ACCEPT OK
2 972794921841 eni-00717e575f7327ff3 106.15.196.84 10.192.10.231 48235 2375 6 2 80 1633688676 1633688691 ACCEPT OK
2 972794921841 eni-00717e575f7327ff3 3.81.145.168 10.192.10.231 35760 22 6 20 2414 1633688676 1633688691 ACCEPT OK
2 972794921841 eni-00717e575f7327ff3 10.192.10.231 3.81.145.168 22 35720 6 7 620 1633688676 1633688691 ACCEPT OK
2 972794921841 eni-00717e575f7327ff3 10.192.10.41 10.192.10.231 42028 5000 6 6 459 1633688676 1633688691 ACCEPT OK
2 972794921841 eni-00717e575f7327ff3 10.192.10.231 10.192.10.41 5000 42028 6 6 502 1633688676 1633688691 ACCEPT OK
2 972794921841 eni-00717e575f7327ff3 10.192.10.231 3.81.145.168 22 35712 6 6 568 1633688676 1633688691 ACCEPT OK
2 972794921841 eni-00717e575f7327ff3 10.192.10.231 3.81.145.168 22 35742 6 24 3225 1633688676 1633688691 ACCEPT OK
